createAt,manageObject,M8009C1,M8009C0
2025-05-07T12:15:00.000-04:00:00,NE-MRBTS-690501,34.0,1.0
2025-05-07T12:30:00.000-04:00:00,NE-MRBTS-690501,17.0,3.0
2025-05-07T13:00:00.000-04:00:00,NE-MRBTS-690501,13.0,1.0
2025-05-07T13:15:00.000-04:00:00,NE-MRBTS-690501,23.0,2.0
2025-05-07T13:30:00.000-04:00:00,NE-MRBTS-690501,32.0,1.0
2025-05-07T14:00:00.000-04:00:00,NE-MRBTS-690501,29.0,6.0
2025-05-07T14:15:00.000-04:00:00,NE-MRBTS-690501,33.0,3.0
2025-05-07T14:30:00.000-04:00:00,NE-MRBTS-690501,59.0,9.0
2025-05-07T15:00:00.000-04:00:00,NE-MRBTS-690501,30.0,3.0
2025-05-07T15:15:00.000-04:00:00,NE-MRBTS-690501,21.0,2.0
2025-05-07T15:30:00.000-04:00:00,NE-MRBTS-690501,11.0,14.0
2025-05-07T16:00:00.000-04:00:00,NE-MRBTS-690501,37.0,3.0
2025-05-07T16:15:00.000-04:00:00,NE-MRBTS-690501,30.0,2.0
2025-05-07T16:30:00.000-04:00:00,NE-MRBTS-690501,19.0,3.0
2025-05-07T17:00:00.000-04:00:00,NE-MRBTS-690501,22.0,5.0
2025-05-07T17:15:00.000-04:00:00,NE-MRBTS-690501,2.0,
2025-05-07T17:30:00.000-04:00:00,NE-MRBTS-690501,7.0,
2025-05-07T18:00:00.000-04:00:00,NE-MRBTS-690501,7.0,
2025-05-07T18:15:00.000-04:00:00,NE-MRBTS-690501,11.0,
2025-05-07T18:30:00.000-04:00:00,NE-MRBTS-690501,2.0,
2025-05-07T19:00:00.000-04:00:00,NE-MRBTS-690501,41.0,
2025-05-07T19:15:00.000-04:00:00,NE-MRBTS-690501,2.0,
2025-05-07T19:30:00.000-04:00:00,NE-MRBTS-690501,13.0,
2025-05-07T20:00:00.000-04:00:00,NE-MRBTS-690501,5.0,2.0
2025-05-07T20:15:00.000-04:00:00,NE-MRBTS-690501,3.0,
2025-05-07T20:30:00.000-04:00:00,NE-MRBTS-690501,8.0,31.0
2025-05-07T21:00:00.000-04:00:00,NE-MRBTS-690501,3.0,
2025-05-07T21:15:00.000-04:00:00,NE-MRBTS-690501,2.0,
2025-05-07T21:30:00.000-04:00:00,NE-MRBTS-690501,5.0,
2025-05-07T22:00:00.000-04:00:00,NE-MRBTS-690501,3.0,3.0
2025-05-07T23:15:00.000-04:00:00,NE-MRBTS-690501,1.0,
2025-05-07T23:30:00.000-04:00:00,NE-MRBTS-690501,1.0,
2025-05-08T00:30:00.000-04:00:00,NE-MRBTS-690501,1.0,
2025-05-08T01:00:00.000-04:00:00,NE-MRBTS-690501,1.0,
2025-05-08T01:15:00.000-04:00:00,NE-MRBTS-690501,7.0,
2025-05-08T01:30:00.000-04:00:00,NE-MRBTS-690501,3.0,
2025-05-08T02:00:00.000-04:00:00,NE-MRBTS-690501,1.0,
2025-05-08T02:15:00.000-04:00:00,NE-MRBTS-690501,3.0,
2025-05-08T03:00:00.000-04:00:00,NE-MRBTS-690501,1.0,
2025-05-08T04:00:00.000-04:00:00,NE-MRBTS-690501,3.0,
2025-05-08T05:15:00.000-04:00:00,NE-MRBTS-690501,1.0,
2025-05-08T05:30:00.000-04:00:00,NE-MRBTS-690501,3.0,1.0
2025-05-08T06:15:00.000-04:00:00,NE-MRBTS-690501,5.0,
2025-05-08T06:30:00.000-04:00:00,NE-MRBTS-690501,14.0,
2025-05-08T07:00:00.000-04:00:00,NE-MRBTS-690501,7.0,
2025-05-08T07:15:00.000-04:00:00,NE-MRBTS-690501,3.0,
2025-05-08T07:30:00.000-04:00:00,NE-MRBTS-690501,8.0,
2025-05-08T08:00:00.000-04:00:00,NE-MRBTS-690501,10.0,
2025-05-08T08:15:00.000-04:00:00,NE-MRBTS-690501,30.0,4.0
2025-05-08T08:30:00.000-04:00:00,NE-MRBTS-690501,16.0,
2025-05-08T09:00:00.000-04:00:00,NE-MRBTS-690501,21.0,1.0
2025-05-08T09:15:00.000-04:00:00,NE-MRBTS-690501,7.0,
2025-05-08T09:30:00.000-04:00:00,NE-MRBTS-690501,15.0,
2025-05-08T09:45:00.000-04:00:00,NE-MRBTS-690501,13.0,
2025-05-08T10:00:00.000-04:00:00,NE-MRBTS-690501,27.0,4.0
2025-05-08T10:15:00.000-04:00:00,NE-MRBTS-690501,15.0,1.0
2025-05-08T10:30:00.000-04:00:00,NE-MRBTS-690501,33.0,5.0
2025-05-08T10:45:00.000-04:00:00,NE-MRBTS-690501,26.0,
2025-05-08T11:00:00.000-04:00:00,NE-MRBTS-690501,10.0,1.0
2025-05-08T11:15:00.000-04:00:00,NE-MRBTS-690501,16.0,
2025-05-08T11:30:00.000-04:00:00,NE-MRBTS-690501,14.0,2.0
2025-05-08T11:45:00.000-04:00:00,NE-MRBTS-690501,17.0,2.0
2025-05-08T12:00:00.000-04:00:00,NE-MRBTS-690501,11.0,1.0
2025-05-08T12:15:00.000-04:00:00,NE-MRBTS-690501,18.0,
2025-05-08T12:30:00.000-04:00:00,NE-MRBTS-690501,26.0,1.0
2025-05-08T12:45:00.000-04:00:00,NE-MRBTS-690501,31.0,2.0
2025-05-08T13:00:00.000-04:00:00,NE-MRBTS-690501,21.0,2.0
2025-05-08T13:15:00.000-04:00:00,NE-MRBTS-690501,59.0,8.0
2025-05-08T13:30:00.000-04:00:00,NE-MRBTS-690501,7.0,
2025-05-08T13:45:00.000-04:00:00,NE-MRBTS-690501,56.0,3.0
2025-05-08T14:00:00.000-04:00:00,NE-MRBTS-690501,56.0,23.0
2025-05-08T14:15:00.000-04:00:00,NE-MRBTS-690501,61.0,6.0
2025-05-08T14:30:00.000-04:00:00,NE-MRBTS-690501,41.0,9.0
2025-05-08T14:45:00.000-04:00:00,NE-MRBTS-690501,63.0,10.0
2025-05-08T15:00:00.000-04:00:00,NE-MRBTS-690501,47.0,4.0
2025-05-08T15:15:00.000-04:00:00,NE-MRBTS-690501,57.0,
2025-05-08T15:30:00.000-04:00:00,NE-MRBTS-690501,30.0,3.0
2025-05-06T14:00:00.000-04:00:00,NE-MRBTS-690503,4.0,
2025-05-06T14:30:00.000-04:00:00,NE-MRBTS-690503,1.0,
2025-05-06T15:00:00.000-04:00:00,NE-MRBTS-690503,1.0,
2025-05-06T15:15:00.000-04:00:00,NE-MRBTS-690503,2.0,
2025-05-06T15:30:00.000-04:00:00,NE-MRBTS-690503,1.0,
2025-05-06T16:00:00.000-04:00:00,NE-MRBTS-690503,2.0,
2025-05-06T16:15:00.000-04:00:00,NE-MRBTS-690503,2.0,
2025-05-06T16:30:00.000-04:00:00,NE-MRBTS-690503,3.0,1.0
2025-05-06T17:30:00.000-04:00:00,NE-MRBTS-690503,1.0,
2025-05-06T18:00:00.000-04:00:00,NE-MRBTS-690503,6.0,
2025-05-06T18:15:00.000-04:00:00,NE-MRBTS-690503,5.0,
2025-05-06T18:30:00.000-04:00:00,NE-MRBTS-690503,1.0,
2025-05-06T18:45:00.000-04:00:00,NE-MRBTS-690503,2.0,
2025-05-06T19:00:00.000-04:00:00,NE-MRBTS-690503,2.0,
2025-05-06T19:15:00.000-04:00:00,NE-MRBTS-690503,1.0,
2025-05-06T21:15:00.000-04:00:00,NE-MRBTS-690503,1.0,
2025-05-07T02:00:00.000-04:00:00,NE-MRBTS-690503,1.0,
2025-05-07T02:30:00.000-04:00:00,NE-MRBTS-690503,2.0,
2025-05-07T04:00:00.000-04:00:00,NE-MRBTS-690503,1.0,
2025-05-07T04:15:00.000-04:00:00,NE-MRBTS-690503,1.0,
2025-05-07T04:30:00.000-04:00:00,NE-MRBTS-690503,2.0,
2025-05-07T05:00:00.000-04:00:00,NE-MRBTS-690503,1.0,1.0
2025-05-07T06:00:00.000-04:00:00,NE-MRBTS-690503,2.0,
2025-05-07T07:30:00.000-04:00:00,NE-MRBTS-690503,1.0,
2025-05-07T08:00:00.000-04:00:00,NE-MRBTS-690503,3.0,1.0
2025-05-07T09:00:00.000-04:00:00,NE-MRBTS-690503,2.0,
2025-05-07T09:15:00.000-04:00:00,NE-MRBTS-690503,2.0,
2025-05-07T09:30:00.000-04:00:00,NE-MRBTS-690503,1.0,2.0
2025-05-07T10:00:00.000-04:00:00,NE-MRBTS-690503,1.0,3.0
2025-05-07T10:15:00.000-04:00:00,NE-MRBTS-690503,1.0,
2025-05-07T10:30:00.000-04:00:00,NE-MRBTS-690503,2.0,1.0
2025-05-07T11:15:00.000-04:00:00,NE-MRBTS-690503,14.0,
2025-05-07T11:30:00.000-04:00:00,NE-MRBTS-690503,2.0,1.0
2025-05-07T12:00:00.000-04:00:00,NE-MRBTS-690503,2.0,
2025-05-07T12:15:00.000-04:00:00,NE-MRBTS-690503,5.0,
2025-05-07T12:30:00.000-04:00:00,NE-MRBTS-690503,11.0,1.0
2025-05-07T13:00:00.000-04:00:00,NE-MRBTS-690503,5.0,1.0
2025-05-07T13:15:00.000-04:00:00,NE-MRBTS-690503,1.0,
2025-05-07T14:00:00.000-04:00:00,NE-MRBTS-690503,2.0,
2025-05-07T14:15:00.000-04:00:00,NE-MRBTS-690503,2.0,
2025-05-07T14:30:00.000-04:00:00,NE-MRBTS-690503,1.0,
2025-05-07T15:00:00.000-04:00:00,NE-MRBTS-690503,,1.0
2025-05-07T16:00:00.000-04:00:00,NE-MRBTS-690503,3.0,
2025-05-07T16:30:00.000-04:00:00,NE-MRBTS-690503,2.0,
2025-05-07T17:00:00.000-04:00:00,NE-MRBTS-690503,1.0,
2025-05-07T19:15:00.000-04:00:00,NE-MRBTS-690503,3.0,
2025-05-07T20:30:00.000-04:00:00,NE-MRBTS-690503,1.0,
2025-05-07T21:00:00.000-04:00:00,NE-MRBTS-690503,1.0,
2025-05-08T00:00:00.000-04:00:00,NE-MRBTS-690503,1.0,
2025-05-08T00:30:00.000-04:00:00,NE-MRBTS-690503,3.0,
2025-05-08T01:00:00.000-04:00:00,NE-MRBTS-690503,1.0,
2025-05-08T01:30:00.000-04:00:00,NE-MRBTS-690503,1.0,
2025-05-08T02:15:00.000-04:00:00,NE-MRBTS-690503,1.0,
2025-05-08T04:00:00.000-04:00:00,NE-MRBTS-690503,1.0,
2025-05-08T04:15:00.000-04:00:00,NE-MRBTS-690503,1.0,
2025-05-08T04:30:00.000-04:00:00,NE-MRBTS-690503,4.0,
2025-05-08T05:15:00.000-04:00:00,NE-MRBTS-690503,2.0,
2025-05-08T05:30:00.000-04:00:00,NE-MRBTS-690503,6.0,
2025-05-08T06:00:00.000-04:00:00,NE-MRBTS-690503,2.0,
2025-05-08T08:30:00.000-04:00:00,NE-MRBTS-690503,2.0,
2025-05-08T09:00:00.000-04:00:00,NE-MRBTS-690503,1.0,
2025-05-08T09:30:00.000-04:00:00,NE-MRBTS-690503,4.0,
2025-05-08T10:00:00.000-04:00:00,NE-MRBTS-690503,6.0,1.0
2025-05-08T10:15:00.000-04:00:00,NE-MRBTS-690503,1.0,
2025-05-08T11:30:00.000-04:00:00,NE-MRBTS-690503,1.0,
2025-05-08T12:30:00.000-04:00:00,NE-MRBTS-690503,3.0,
2025-05-08T13:15:00.000-04:00:00,NE-MRBTS-690503,2.0,
2025-05-08T14:15:00.000-04:00:00,NE-MRBTS-690503,,12.0
2025-05-08T15:30:00.000-04:00:00,NE-MRBTS-690503,2.0,
2025-05-06T14:00:00.000-04:00:00,NE-MRBTS-690513,3.0,
2025-05-06T14:15:00.000-04:00:00,NE-MRBTS-690513,1.0,
2025-05-06T14:30:00.000-04:00:00,NE-MRBTS-690513,1.0,
2025-05-06T15:15:00.000-04:00:00,NE-MRBTS-690513,2.0,
2025-05-06T15:30:00.000-04:00:00,NE-MRBTS-690513,1.0,
2025-05-06T16:00:00.000-04:00:00,NE-MRBTS-690513,1.0,
2025-05-06T16:15:00.000-04:00:00,NE-MRBTS-690513,1.0,
2025-05-06T17:00:00.000-04:00:00,NE-MRBTS-690513,1.0,
2025-05-06T17:15:00.000-04:00:00,NE-MRBTS-690513,3.0,
2025-05-06T18:00:00.000-04:00:00,NE-MRBTS-690513,5.0,
2025-05-06T18:15:00.000-04:00:00,NE-MRBTS-690513,5.0,
2025-05-06T18:30:00.000-04:00:00,NE-MRBTS-690513,3.0,
2025-05-06T19:00:00.000-04:00:00,NE-MRBTS-690513,1.0,
2025-05-06T19:15:00.000-04:00:00,NE-MRBTS-690513,1.0,
2025-05-07T04:00:00.000-04:00:00,NE-MRBTS-690513,1.0,
2025-05-07T05:00:00.000-04:00:00,NE-MRBTS-690513,1.0,
2025-05-07T06:00:00.000-04:00:00,NE-MRBTS-690513,1.0,
2025-05-07T08:00:00.000-04:00:00,NE-MRBTS-690513,2.0,
2025-05-07T08:15:00.000-04:00:00,NE-MRBTS-690513,1.0,
2025-05-07T09:00:00.000-04:00:00,NE-MRBTS-690513,1.0,
2025-05-07T09:15:00.000-04:00:00,NE-MRBTS-690513,1.0,
2025-05-07T10:00:00.000-04:00:00,NE-MRBTS-690513,1.0,
2025-05-07T10:30:00.000-04:00:00,NE-MRBTS-690513,2.0,
2025-05-07T11:00:00.000-04:00:00,NE-MRBTS-690513,3.0,
2025-05-07T11:30:00.000-04:00:00,NE-MRBTS-690513,1.0,
2025-05-07T12:00:00.000-04:00:00,NE-MRBTS-690513,3.0,
2025-05-07T12:15:00.000-04:00:00,NE-MRBTS-690513,2.0,
2025-05-07T12:30:00.000-04:00:00,NE-MRBTS-690513,1.0,
2025-05-07T13:15:00.000-04:00:00,NE-MRBTS-690513,1.0,
2025-05-07T14:30:00.000-04:00:00,NE-MRBTS-690513,1.0,
2025-05-07T16:00:00.000-04:00:00,NE-MRBTS-690513,1.0,
2025-05-07T16:15:00.000-04:00:00,NE-MRBTS-690513,1.0,
2025-05-07T16:30:00.000-04:00:00,NE-MRBTS-690513,1.0,
2025-05-07T17:15:00.000-04:00:00,NE-MRBTS-690513,4.0,
2025-05-07T17:30:00.000-04:00:00,NE-MRBTS-690513,1.0,
2025-05-07T19:15:00.000-04:00:00,NE-MRBTS-690513,3.0,
2025-05-08T00:00:00.000-04:00:00,NE-MRBTS-690513,1.0,
2025-05-08T00:30:00.000-04:00:00,NE-MRBTS-690513,1.0,
2025-05-08T04:00:00.000-04:00:00,NE-MRBTS-690513,1.0,
2025-05-08T04:30:00.000-04:00:00,NE-MRBTS-690513,1.0,
2025-05-08T05:15:00.000-04:00:00,NE-MRBTS-690513,2.0,
2025-05-08T05:30:00.000-04:00:00,NE-MRBTS-690513,5.0,
2025-05-08T06:00:00.000-04:00:00,NE-MRBTS-690513,3.0,
2025-05-08T08:15:00.000-04:00:00,NE-MRBTS-690513,1.0,
2025-05-08T08:30:00.000-04:00:00,NE-MRBTS-690513,1.0,
2025-05-08T09:00:00.000-04:00:00,NE-MRBTS-690513,1.0,
2025-05-08T10:15:00.000-04:00:00,NE-MRBTS-690513,3.0,
2025-05-08T12:30:00.000-04:00:00,NE-MRBTS-690513,1.0,
2025-05-08T14:30:00.000-04:00:00,NE-MRBTS-690513,1.0,
2025-05-06T21:00:00.000-03:00:00,NE-MRBTS-771801,,1.0
2025-05-07T14:15:00.000-03:00:00,NE-MRBTS-341601,,1.0
2025-05-07T17:15:00.000-03:00:00,NE-MRBTS-341601,,1.0
2025-05-07T23:30:00.000-03:00:00,NE-MRBTS-341601,,2.0
2025-05-08T02:15:00.000-03:00:00,NE-MRBTS-341601,,1.0
2025-05-08T02:30:00.000-03:00:00,NE-MRBTS-341601,,1.0
2025-05-08T03:15:00.000-03:00:00,NE-MRBTS-341601,,2.0
2025-05-07T11:00:00.000-03:00:00,NE-MRBTS-621901,,1.0
2025-05-07T08:15:00.000-03:00:00,NE-MRBTS-690204,,5.0
2025-05-07T16:00:00.000-03:00:00,NE-MRBTS-772601,,2.0
2025-05-07T18:15:00.000-03:00:00,NE-MRBTS-772601,,1.0
2025-05-08T13:15:00.000-03:00:00,NE-MRBTS-772601,,1.0
2025-05-08T14:00:00.000-03:00:00,NE-MRBTS-772601,,4.0
